From;To;Type;Through;start_x;start_y;stop_x;stop_y;Comment
2929;2890;sea;1529;2021;838;2022;841;Para-Marajo
748;2890;sea;1529;2050;847;2046;850;Belem-Marajo
911;2587;sea;1661;-1;-1;-1;-1;Belem-Marajo
2954;353;sea;1305;2973;1210;2972;1208;Djerba-Tataouine
431;2999;sea;1334;3693;1091;3689;1089;Mogostan-Hormuz
398;2999;sea;1334;3686;1080;3684;1084;Qawasim-Hormuz
146;3003;sea;1319;3174;1294;3175;1294;Athens - Euboea
3003;164;sea;1319;3190;1287;3191;1286;Euboea - Cyclades
31;4152;lake;4139;3232;1827;3235;1835;Savolax - Kuusamo
1751;226;sea;1293;-1;-1;-1;-1;Ceuta-Gibraltar
4699;4698;sea;1312;-1;-1;-1;-1;Arta-Cephalonia
4745;47;sea;1257;3013;1607;3012;1606;R�gen-Stralsund
2994;48;sea;1257;-1;-1;-1;-1;Wolgast-Kolberg
130;4753;sea;1308;-1;-1;-1;-1;Istria-Zara
1247;115;sea;1298;-1;-1;-1;-1;Corsica-Pisa
2986;2455;sea;1302;-1;-1;-1;-1;Cagliari-Bizerte
341;4736;sea;1302;-1;-1;-1;-1;Tunis-Trapani
4559;2986;sea;1300;-1;-1;-1;-1;Cagliari-Menorca
4560;1750;sea;1295;-1;-1;-1;-1;Alacant-Ibiza
28;36;sea;1254;-1;-1;-1;-1;Nyland-Reval
235;87;sea;1271;-1;-1;-1;-1;Calais-Kent
122;143;sea;1310;-1;-1;-1;-1;Salento-Avloyna
1099;402;sea;4346;-1;-1;-1;-1;Suqutra-Qishn
-1;-1;;-1;-1;-1;-1;-1;-1;
